10.000000	4185.806112	9188.141810
20.000000	4191.612224	9196.283619
30.000000	4197.418336	9204.425429
40.000000	4203.224447	9212.567239
50.000000	4209.030559	9220.709049
60.000000	4214.836671	9228.850858
70.000000	4220.642783	9236.992668
80.000000	4226.448895	9245.134478
90.000000	4232.255007	9253.276287
100.000000	4238.061118	9261.418097
110.000000	4243.867230	9269.559907
120.000000	4249.673342	9277.701716
130.000000	4255.479454	9285.843526
140.000000	4261.285566	9293.985336
150.000000	4267.091678	9302.127146
160.000000	4272.897789	9310.268955
170.000000	4278.703901	9318.410765
180.000000	4284.510013	9326.552575
190.000000	4290.316125	9334.694384
